fullCategoryName,name,type,regex
general.time.duration_regex,Months,Month,\b(?:(Jan|Feb)(?:(r?)uary)?|Mar(?:ch)?|April|May|Jun(?:e)?|July|Aug(?:ust)?|Oct(?:ober)?|(Sept|Nov|Dec)(?:ember)?)\b
pestles.economic.company,company,thing,(?ui)\b((software|tech(nology|ical)?\s)?compan(y|ies)|business(es)?)\b
pestles.economic.financial.currency,proliferation,thing,(?ui)\bproliferation\b
pestles.economic.financial.currency,exchange_rate,thing,\bexchange rate\b
pestles.economic.financial.currency,USD_USDollar,thing,"\$[0-9,.]+"
pestles.economic.financial.currency,EUR_EuropeanEuro,thing,"\€[0-9,.]+"
pestles.economic.financial.currency,GBP_BritishPound,thing,"\£[0-9,.]+"
pestles.economic.financial.currency,JPYCNY_JapaneseYen_ChineseYuan,thing,"\¥[0-9,.]+"
pestles.economic.financial.institution,bank,thing,(?ui)\bbank(s)\b
pestles.economic.financial.institution,bank_loan,thing,(?ui)\bsavings and loan\b
pestles.economic.financial.institution,credit_union,thing,(?ui)\bcredit union(s)?\b
pestles.economic.financial.institution,insurance,thing,(?ui)\binsurance\b
pestles.economic.financial.institution,mortgage,thing,(?ui)\bmortgage(s)?\b
pestles.economic.financial.market,stock_market,thing,(?ui)\bstock market(s)?\b
pestles.economic.financial.market,store_department,thing,(?ui)\bdepartment store(s)?\b
pestles.economic.financial.market,store_farmersmarket,thing,(?ui)\bfarmer(')?s market(s)?\b
pestles.economic.financial.market,store_grocery,thing,(?ui)\bgrocery store(s)?\b
pestles.economic.financial.market,store_mall,thing,(?ui)\bshopping mall(s)\s?\b
pestles.economic.transportation,manufacturer,thing,(?ui)\bmanufacturer(s)?\b
pestles.economic.transportation,B2B,thing,(?ui)\b(business\sto\sbusiness|B2B)\b
pestles.economic.transportation,shipping,thing,(?ui)\bship(ping|er(s)?|ment(s)?|ped)?\b
pestles.economic.transportation,transport,thing,(?ui)\btransport(ation|ed|s)?\b
pestles.economic.transportation,vehicle,thing,(?ui)\b((vehicle|car|truck)(s)?|SUV)\b
pestles.economic.transportation,mail,thing,(?ui)\bmail\b
pestles.economic.transportation,customs,thing,(?ui)\bcustoms\b
pestles.economic.transportation,postage,thing,(?ui)\bpostage\b
pestles.economic.transportation,logs,thing,(?ui)\b(shipping)?(\s)?log(s)?\b
pestles.economic.transportation,manifest,thing,(?ui)\bmanifest\b
pestles.economic.transportation,wholesalers,thing,(?ui)\bwhole\s?saler(s)?\b
pestles.economic.transportation,sellers,thing,(?ui)\bseller(s)?\b
pestles.economic.transportation,retailers,thing,(?ui)\bretail(er(s)?)?\b
pestles.economic.transportation,containers,thing,(?ui)\bcontainer(s)?\b
pestles.economic.transportation,B2I,thing,(?ui)\b(business\sto\s(industry|institution)|B2I)\b
pestles.environmental.history,indigenous,thing,(?ui)\bindigenous\b
pestles.environmental.place,underwater,thing,(?ui)\bunder(\s)?water\b
pestles.environmental.place,underground,thing,(?ui)\bunder(\s)?ground\b
